"","idx","script","speaker","time_from","time_to"
"173","213","야 ","부원1","00:13:57,083","00:13:58,333"
"174","213","뭐야, 쟤","부원2","00:13:57,083","00:13:58,333"
"175","214","어? 야, 김진희 ","부원3","00:13:58,916","00:14:01,541"
"176","214","네가 여기 웬일이냐?","준모","00:13:58,916","00:14:01,541"
"177","215","나 너희 응원단장 됐잖아",NA,"00:14:01,791","00:14:03,666"
"178","216","아, 진짜? ","준모","00:14:03,750","00:14:05,125"
"179","216","소식 못 들었냐?",NA,"00:14:03,750","00:14:05,125"
"180","217","야, 잘됐다","부원3","00:14:05,208","00:14:06,541"
"181","218","하고 싶어 하더니 ","부원3","00:14:06,625","00:14:07,791"
"182","218","아, 좋은데?","부원4","00:14:06,625","00:14:07,791"
"183","219","여기 앉을래? ","부원5","00:14:07,875","00:14:09,750"
"184","219","열심히들 해라","진희","00:14:07,875","00:14:09,750"
"185","221","어, 어? ","부원6","00:14:11,916","00:14:13,458"
"186","221","진희, 안녕","부원7","00:14:11,916","00:14:13,458"
"187","222","안녕 ","부원8","00:14:13,541","00:14:16,000"
"188","222","오~","부원7","00:14:13,541","00:14:16,000"
"189","223","뭐 듣냐?","진희","00:14:16,083","00:14:17,166"
"190","224","야, 그냥 딴 데 앉아라 어?",NA,"00:14:19,958","00:14:22,333"
"191","225","아무것도 안 들으면서",NA,"00:14:22,541","00:14:24,125"
"192","226","야, 넌 내가 좋다고 하면",NA,"00:14:24,333","00:14:26,458"
"193","227","그냥 '감사합니다' 하면서 받아들이면 돼, 네 운명을",NA,"00:14:26,541","00:14:30,625"
"194","228","그럼, 그럼 ","부원9","00:14:30,708","00:14:34,041"
"195","228","운명이야, 운명","부원10","00:14:30,708","00:14:34,041"
"196","229","받아줘, 받아줘!","야구부원들","00:14:34,125","00:14:37,708"
"197","230","받아줘, 받아...",NA,"00:14:37,875","00:14:40,166"
"198","232","응, 종길아, 응?",NA,"00:14:43,833","00:14:45,416"
"199","233","아이고, 참 이걸 또 언제 삶았대",NA,"00:14:46,500","00:14:48,708"
"200","234","이걸 왜 싸 와 대전까지 1시간이면 가는데",NA,"00:14:48,791","00:14:51,125"
"201","235","치워",NA,"00:14:51,208","00:14:52,250"
"202","236","아이, 안 먹어","종길","00:14:52,333","00:14:54,250"
"203","237","치, 여기 소금","인길","00:14:54,333","00:14:55,750"
"204","238","팀장님, 기차 타셨어요?","김 대리","00:14:55,833","00:14:57,875"
"205","239","어, 김 대리, 왜?",NA,"00:14:58,250","00:14:59,416"
"206","240","아, 새벽부터 전화가 너무 와서요","김 대리","00:14:59,875","00:15:01,750"
"207","241","안산 공단 쪽에서 밤사이 시위가 있었나 봐요",NA,"00:15:01,958","00:15:04,458"
"208","242","그래?","석우","00:15:05,208","00:15:06,250"
"209","243","일단 관련 정보 취합해보고",NA,"00:15:07,708","00:15:09,416"
"210","244","출근하면 연관 종목부터 추려놔",NA,"00:15:09,666","00:15:12,125"
"211","245","점심 전에 들어갈 것 같으니까",NA,"00:15:12,208","00:15:13,666"
"212","246","네","김 대리","00:15:13,875","00:15:14,875"
"213","256","야, 씨!","남자","00:15:50,750","00:15:51,625"
"214","260","잘못했습니다",NA,"00:16:17,708","00:16:19,500"
"215","261","잘못했습니다 죄송합니다, 죄송합니다",NA,"00:16:19,625","00:16:21,791"
"216","262","죄송합니다 잘못했습니다",NA,"00:16:22,125","00:16:24,000"
"217","263","잘못했습니다",NA,"00:16:24,083","00:16:26,083"
"218","264","죄송합니다",NA,"00:16:26,583","00:16:28,458"
"219","266","저기요! ","용석","00:16:38,916","00:16:40,625"
"220","266","네","팀장","00:16:38,916","00:16:40,625"
"221","267","아이고, 수고 많으세요 ",NA,"00:16:41,708","00:16:43,416"
"222","267","예",NA,"00:16:41,708","00:16:43,416"
"223","268","이상한 사람이 하나 타고 있는 것 같은데?",NA,"00:16:43,916","00:16:45,916"
"224","269","어디...?",NA,"00:16:46,000","00:16:47,125"
"225","270","아이, 저 화장실에 누가 하나 들어가 있는데",NA,"00:16:47,208","00:16:49,291"
"226","271","네","팀장","00:16:49,375","00:16:50,333"
"227","272","그 무슨 짓을 하는지 좀 이상해요",NA,"00:16:50,416","00:16:52,708"
"228","273","한참 됐어요 ","여자","00:16:52,791","00:16:54,375"
"229","273","응","용석","00:16:52,791","00:16:54,375"
"230","274","아, 죄송합니다, 고객님",NA,"00:16:54,458","00:16:56,250"
"231","275","예, 제가 바로 확인해보겠습니다","팀장","00:16:56,333","00:16:57,583"
"232","276","예 ","용석","00:16:57,666","00:16:58,666"
"233","276","예","팀장","00:16:57,666","00:16:58,666"
"234","279","고객님!","팀장","00:17:09,000","00:17:10,125"
"235","281","고객님!","팀장","00:17:12,540","00:17:13,665"
"236","283","고객님!","팀장","00:17:17,208","00:17:18,583"
"237","284","다 죽었어, 다 죽었어",NA,"00:17:25,833","00:17:28,290"
"238","285","손님!",NA,"00:17:28,958","00:17:30,041"
"239","286","손님?",NA,"00:17:31,250","00:17:32,375"
"240","287","죄송하지만 티켓 좀 확인하겠습니다",NA,"00:17:32,791","00:17:34,750"
"241","288","다 죽었어, 다 죽었어",NA,"00:17:34,875","00:17:36,833"
"242","289","손님! 소지하신 티켓이 없으시면",NA,"00:17:37,666","00:17:40,291"
"243","290","다음 역에 하차하셔서",NA,"00:17:40,375","00:17:41,333"
"244","291","저희 역무원 지시를 따르셔야 됩니다",NA,"00:17:41,416","00:17:43,375"
"245","292","다 죽었어",NA,"00:17:44,791","00:17:47,375"
"246","293","다 죽었어 ","노숙자","00:17:47,916","00:17:49,458"
"247","293","네?",NA,"00:17:47,916","00:17:49,458"
"248","294","다 죽었어, 다, 다, 다",NA,"00:17:51,125","00:17:54,208"
"249","296","야, 꼬마야","용석","00:17:57,416","00:17:58,416"
"250","297","너 공부 열심히 안 하면 나중에",NA,"00:17:59,083","00:18:00,291"
